4412,441213,44121301,2016,Total,0,0,0,0,0,0,0,0,0,0,0,0
4412,441231,44123199,2010,Total,"355,097","1,119,869","1,190,390","809,234","982,133","778,050","1,155,496","951,742","716,544","529,027","938,272","671,480"
4412,441231,44123199,2010,Peru (Repblica del),"207,780","717,855","765,680","344,647","542,663","295,924","422,900","296,225","342,225","258,432","327,360","164,029"
4412,441231,44123199,2010,China (Repblica Popular de),"75,210","377,980","372,824","371,184","339,384","481,350","624,018","635,097","367,170","269,847","559,143","374,750"
4412,441231,44123199,2010,Paraguay (Repblica del),0,0,"27,000","27,000",0,0,"54,000",0,0,0,"27,000","81,000"
4412,441231,44123199,2010,Ecuador (Repblica de),"49,374","23,899","23,900","47,599","71,649",0,"47,998",0,0,0,"24,000","47,998"
4412,441231,44123199,2010,Corea del Sur,0,0,0,0,0,0,0,0,0,0,0,"2,893"
4412,441231,44123199,2010,Estados Unidos de America,686,134,986,771,"2,517",776,579,"1,070","1,917",398,769,809
4412,441231,44123199,2010,Brasil (Repblica Federativa del),"20,687",0,0,"9,712",0,0,0,"15,462",0,0,0,0
4412,441231,44123199,2010,Chile(Repblica de ),0,0,0,0,"24,320",0,0,0,0,0,0,0
4412,441231,44123199,2010,Indonesia (Repblica de),"1,360",0,0,0,"1,600",0,0,"3,886","5,230",0,0,0
4412,441231,44123199,2010,Italia,0,0,0,320,0,0,0,0,0,0,0,0
4412,441231,44123199,2010,Rusia antes U.R.S.S.,0,0,0,"8,000",0,0,"6,000",0,0,0,0,0
4412,441231,44123199,2010,Tailandia (Reino de),0,0,0,0,0,0,0,0,0,350,0,0
4412,441219,44121901,2011,Total,0,0,0,0,0,0,0,0,0,0,0,0
4409,440920,44092099,2011,Total,0,0,0,0,0,0,0,0,0,0,0,0
4420,442090,44209099,2016,Total,"43,370","59,476","41,920","44,062","27,868","60,990","51,096","42,395","48,229","52,402","63,220","35,437"
4420,442090,44209099,2016,China (Repblica Popular de),"23,175","46,723","17,749","22,677","15,213","42,883","29,380","31,056","23,587","42,973","48,030","28,568"
4420,442090,44209099,2016,Estados Unidos de America,"4,034","3,309","12,365","6,628","2,097","9,714","3,525","2,524","3,023","3,156","6,635","3,650"
4420,442090,44209099,2016,India (Repblica de la),"5,236",345,"1,708","4,913","5,259","2,422","2,491","1,590","6,440","1,909","2,923","1,195"
4420,442090,44209099,2016,Francia,66,194,"1,352",170,5,67,6,140,181,27,170,160
4420,442090,44209099,2016,Italia,86,134,107,28,338,"1,587","1,317",107,201,287,531,288
4420,442090,44209099,2016,Canada,471,0,0,550,290,167,862,0,0,0,32,410
4420,442090,44209099,2016,Alemania (Repblica Federal de),440,570,147,133,28,496,0,88,743,124,94,92
4420,442090,44209099,2016,Suiza,61,110,23,11,74,110,16,71,409,171,49,134
4420,442090,44209099,2016,Tailandia (Reino de),840,449,62,643,491,396,304,851,"2,490",481,748,22
4420,442090,44209099,2016,Vietnam (Repblica Socialista de),"5,227","1,719",122,873,545,763,"4,897","2,935","4,016",913,631,270
4420,442090,44209099,2016,Marruecos (Reino de),0,0,0,6,17,6,0,0,0,20,0,158
4420,442090,44209099,2016,Espaa (Reino de),"3,137","2,915","2,455","3,903","1,118",295,"3,026","2,120","5,329","1,570","2,634",35
4420,442090,44209099,2016,Indonesia (Repblica de),3,116,3,183,262,251,247,141,131,176,123,333
4420,442090,44209099,2016,Turquia (Repblica de),0,0,1,0,0,70,0,0,0,167,0,33
4420,442090,44209099,2016,Taiwan (Taipe chino),50,60,60,59,7,49,61,152,0,2,45,62
4420,442090,44209099,2016,Pases no identificados,0,0,0,0,6,0,8,0,0,0,0,3
